age,income,education_years,credit_score,approval,node_id
52,54592,12,494,1,3
39,20000,15,774,0,3
35,25412,8,725,0,3
18,20000,11,522,0,3
32,27395,8,838,0,3
31,34336,8,620,0,3
34,20000,17,424,1,3
28,32636,12,758,1,3
34,20000,16,780,0,3
30,20000,11,650,0,3
21,20000,13,560,0,3
43,20000,10,773,1,3
43,20000,10,599,0,3
52,35403,11,648,1,3
35,20426,12,697,0,3
30,38978,16,680,1,3
29,27333,11,604,1,3
19,20000,13,545,0,3
44,20000,11,725,1,3
23,20000,12,428,1,3
23,25136,8,683,1,3
32,22123,15,677,1,3
49,20000,10,702,0,3
37,36548,12,613,1,3
24,20000,11,672,0,3
27,20000,14,729,1,3
41,23473,13,545,1,3
33,65965,12,655,0,3
27,27091,12,688,1,3
32,20000,13,524,1,3
42,29623,14,555,1,3
54,30998,13,808,0,3
22,35204,15,754,0,3
28,20000,16,575,0,3
26,20000,13,722,1,3
18,23367,8,691,1,3
25,27109,17,791,0,3
24,48977,18,764,1,3
46,62619,10,407,1,3
33,20000,10,620,1,3
18,20000,8,788,1,3
41,21337,14,814,1,3
31,20000,8,588,1,3
18,28082,17,527,1,3
29,28081,8,676,0,3
29,25058,12,586,1,3
26,43132,14,648,1,3
35,20348,10,533,1,3
18,20000,9,727,1,3
32,20000,12,707,1,3
45,20000,10,696,0,3
43,20000,10,540,1,3
46,20000,11,481,1,3
46,30686,10,522,1,3
49,24164,11,700,1,3
23,20000,14,470,0,3
43,20000,10,716,1,3
18,20000,12,827,0,3
28,20000,9,587,1,3
18,55489,14,631,1,3
45,20000,8,748,0,3
48,23644,14,742,0,3
33,31946,8,588,1,3
52,23577,9,632,0,3
28,20000,8,662,1,3
36,32339,15,623,1,3
36,20000,12,708,0,3
24,29079,8,683,0,3
39,45041,10,781,1,3
54,20000,16,479,1,3
24,20000,11,769,1,3
43,23575,13,732,1,3
33,36126,8,637,0,3
52,43026,8,692,1,3
39,30955,13,748,0,3
41,20000,18,681,0,3
41,20000,10,626,1,3
37,24871,13,679,0,3
21,26879,9,581,0,3
48,20000,15,519,1,3
21,22694,10,563,1,3
37,26006,10,573,1,3
41,37143,8,670,0,3
26,20000,10,730,0,3
36,29099,12,675,1,3
46,20000,16,796,0,3
34,20000,8,642,1,3
26,21181,14,586,0,3
18,47049,10,578,1,3
25,115514,11,561,1,3
29,25003,9,620,1,3
29,28216,8,789,0,3
25,36452,8,504,0,3
38,20000,16,706,1,3
29,32300,8,650,0,3
33,20000,10,735,1,3
41,49739,15,605,0,3
26,45330,8,725,1,3
31,28304,13,603,0,3
56,20000,10,716,0,3
43,50716,12,457,1,3
22,25080,14,702,1,3
34,23274,11,728,1,3
40,29430,11,494,0,3
47,20000,14,739,1,3
36,27289,13,540,0,3
29,36244,9,753,1,3
27,26095,11,654,0,3
41,23685,8,723,0,3
38,20000,15,692,1,3
29,30387,8,535,0,3
33,24348,12,810,0,3
30,22126,17,777,1,3
42,20000,14,553,1,3
28,33795,10,712,0,3
39,41092,9,702,1,3
43,26744,9,588,1,3
39,34488,14,552,0,3
26,42745,12,785,1,3
48,48731,11,617,1,3
28,24657,19,747,1,3
39,20000,9,847,1,3
27,20000,10,705,0,3
18,22178,10,568,1,3
37,29027,12,756,1,3
37,35210,12,520,0,3
34,20000,11,566,1,3
37,23740,14,850,1,3
28,20000,13,578,0,3
27,41439,10,692,0,3
33,20000,8,551,1,3
54,26343,14,645,0,3
43,20000,9,677,0,3
29,20000,9,392,0,3
40,20000,11,592,1,3
30,51662,8,723,1,3
30,26362,9,744,1,3
43,20267,12,691,1,3
29,20000,10,562,0,3
18,20000,12,696,0,3
25,29270,9,608,0,3
35,50663,11,579,0,3
36,20000,8,657,1,3
47,20000,10,850,0,3
27,20173,12,566,1,3
42,20000,10,760,1,3
39,20000,8,682,1,3
33,22240,11,508,1,3
43,32065,12,565,1,3
39,20000,15,639,1,3
26,24476,11,609,0,3
45,35679,10,682,0,3
22,35960,8,557,1,3
35,20000,17,554,0,3
35,69729,8,756,0,3
39,29072,8,653,0,3
27,20000,11,571,1,3
34,36031,8,656,0,3
33,20000,14,839,1,3
44,34462,12,598,1,3
27,20000,13,507,1,3
35,32704,8,749,1,3
32,20000,10,850,1,3
22,38798,14,781,1,3
61,31899,14,524,1,3
34,27545,20,449,1,3
20,22681,15,781,1,3
49,37930,8,637,1,3
24,20000,12,705,0,3
38,27344,10,636,0,3
43,27084,15,822,1,3
28,29175,11,661,0,3
30,33293,13,622,0,3
29,140256,10,668,0,3
33,23350,13,533,1,3
18,32933,16,669,1,3
22,23770,9,644,1,3
33,48355,8,441,0,3
45,20000,8,538,0,3
41,51481,16,526,1,3
52,20000,12,495,0,3
41,20000,10,687,1,3
29,20000,8,764,0,3
33,20185,14,683,0,3
18,24273,12,503,1,3
25,21526,11,472,1,3
24,33137,10,729,1,3
37,21642,11,619,1,3
41,21341,10,640,0,3
29,20000,13,520,1,3
29,28104,15,447,0,3
19,36501,8,850,1,3
33,20000,8,589,0,3
37,20000,11,630,0,3
39,20000,12,534,1,3
27,50857,8,802,1,3
54,20000,9,613,1,3
46,20000,10,632,1,3
34,20000,10,653,0,3
29,30959,10,647,1,3
31,20000,11,789,0,3
36,20000,14,466,0,3
34,20000,14,710,1,3
39,20870,13,585,0,3
