age,income,education_years,credit_score,approval,node_id
34,20000,11,675,0,3
20,22681,15,781,1,3
33,20000,10,735,1,3
34,20000,14,710,1,3
56,20000,10,716,0,3
37,21205,10,651,1,3
18,22178,10,568,1,3
35,20000,10,500,0,3
35,20000,17,554,0,3
39,20000,9,503,1,3
55,38108,13,660,0,3
41,49739,15,605,0,3
32,20000,10,595,0,3
47,20000,8,638,0,3
18,45509,13,554,1,3
35,36051,13,671,1,3
25,30019,8,441,0,3
25,20000,8,678,1,3
22,38798,14,781,1,3
22,25080,14,702,1,3
50,20000,12,574,0,3
43,20000,10,574,1,3
33,23350,13,533,1,3
36,20000,8,657,1,3
28,33795,10,712,0,3
44,20000,10,721,1,3
18,20855,8,656,1,3
18,20000,10,600,0,3
33,20000,8,627,0,3
29,23589,15,698,1,3
41,51481,16,526,1,3
23,20000,8,665,0,3
35,20000,11,675,0,3
34,23274,11,728,1,3
29,20000,8,764,0,3
55,20000,12,693,0,3
46,28815,8,752,1,3
30,51662,8,723,1,3
48,23644,14,742,0,3
18,20563,10,669,1,3
33,20000,14,603,0,3
43,32065,12,565,1,3
36,29099,12,675,1,3
30,20000,17,638,1,3
39,30955,13,748,0,3
50,26245,11,745,1,3
31,34336,8,620,0,3
41,20000,13,779,1,3
28,20000,16,575,0,3
22,24845,15,654,0,3
37,35210,12,520,0,3
23,23953,10,623,1,3
30,23032,16,765,1,3
36,20000,11,585,0,3
40,20000,10,654,0,3
30,26630,13,688,0,3
30,60918,18,569,1,3
25,21526,11,472,1,3
38,20000,8,676,1,3
50,36134,12,775,1,3
40,20000,16,631,1,3
28,46878,9,441,1,3
40,29430,11,494,0,3
29,28104,15,447,0,3
19,20000,13,545,0,3
25,29270,9,608,0,3
23,26556,8,508,1,3
18,20000,8,671,0,3
18,20000,11,522,0,3
33,20000,14,839,1,3
40,20000,10,577,1,3
35,20348,10,533,1,3
49,32150,12,620,0,3
27,20000,11,571,1,3
27,50857,8,802,1,3
18,20000,8,788,1,3
36,20000,12,708,0,3
34,20000,11,566,1,3
27,20000,13,507,1,3
22,35204,15,754,0,3
26,21689,15,767,1,3
38,20000,16,531,1,3
31,24088,14,703,1,3
43,20000,9,677,0,3
37,26943,12,519,0,3
52,43026,8,692,1,3
33,24045,13,518,1,3
45,20000,8,748,0,3
28,20000,13,459,0,3
30,22126,17,777,1,3
21,26879,9,581,0,3
42,31661,12,687,0,3
45,24278,17,675,1,3
32,20000,10,850,1,3
30,20000,11,650,0,3
27,20000,10,705,0,3
26,30422,13,699,1,3
37,20000,10,608,1,3
63,20833,9,550,1,3
32,20000,10,485,1,3
